"(Precinct, Hour)",law_cat_cd
1.0,0,1775
1.0,1,1306
1.0,2,1050
1.0,3,965
1.0,4,746
1.0,5,430
1.0,6,449
1.0,7,870
1.0,8,1868
1.0,9,2659
1.0,10,2362
1.0,11,2610
1.0,12,4190
1.0,13,3903
1.0,14,4357
1.0,15,4465
1.0,16,3932
1.0,17,3855
1.0,18,3524
1.0,19,2739
1.0,20,1839
1.0,21,1239
1.0,22,845
1.0,23,692
5.0,0,1051
5.0,1,844
5.0,2,823
5.0,3,674
5.0,4,478
5.0,5,277
5.0,6,274
5.0,7,441
5.0,8,789
5.0,9,1107
5.0,10,1290
5.0,11,1396
5.0,12,1872
5.0,13,1968
5.0,14,2068
5.0,15,2030
5.0,16,1582
5.0,17,1353
5.0,18,1311
5.0,19,1052
5.0,20,876
5.0,21,693
5.0,22,635
5.0,23,471
6.0,0,3003
6.0,1,2864
6.0,2,2421
6.0,3,2125
6.0,4,1418
6.0,5,628
6.0,6,407
6.0,7,490
6.0,8,940
6.0,9,1262
6.0,10,1149
6.0,11,1167
6.0,12,1815
6.0,13,1527
6.0,14,1764
6.0,15,1809
6.0,16,1993
6.0,17,2020
6.0,18,1985
6.0,19,1980
6.0,20,1590
6.0,21,1466
6.0,22,1248
6.0,23,1102
7.0,0,1485
7.0,1,1483
7.0,2,1340
7.0,3,987
7.0,4,765
7.0,5,330
7.0,6,271
7.0,7,324
7.0,8,627
7.0,9,763
7.0,10,760
7.0,11,774
7.0,12,1117
7.0,13,921
7.0,14,1083
7.0,15,1355
7.0,16,1118
7.0,17,1130
7.0,18,1066
7.0,19,901
7.0,20,847
7.0,21,811
7.0,22,846
7.0,23,738
9.0,0,2571
9.0,1,2270
9.0,2,2000
9.0,3,1596
9.0,4,1123
9.0,5,494
9.0,6,365
9.0,7,529
9.0,8,994
9.0,9,1154
9.0,10,1094
9.0,11,1146
9.0,12,1647
9.0,13,1451
9.0,14,1470
9.0,15,1571
9.0,16,1638
9.0,17,1573
9.0,18,1529
9.0,19,1480
9.0,20,1385
9.0,21,1427
9.0,22,1307
9.0,23,1074
10.0,0,2117
10.0,1,2034
10.0,2,1981
10.0,3,1960
10.0,4,1449
10.0,5,566
10.0,6,382
10.0,7,492
10.0,8,887
10.0,9,1146
10.0,10,1076
10.0,11,1127
10.0,12,1965
10.0,13,1424
10.0,14,1625
10.0,15,1644
10.0,16,1456
10.0,17,1377
